quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,audit_reasons
2021Q4,A,1090872,ok,1,2021-11-22,0001090872-21-000022,a-20211122.htm,exhibit991-q421pressrelease.htm,1,10-K,2021-12-17,0001090872-21-000027,a-10312021xexx211.htm,1,1,False,True,False,periodic_doc_not_ready
2021Q4,AAP,1158449,ok,1,2021-11-15,0001158449-21-000208,aap-20211109.htm,aap_exhibit991xq3x2021.htm,1,10-Q,2021-11-16,0001158449-21-000213,aap-20211009.htm,1,1,True,True,True,ready
2021Q4,AAT,1500217,ok,1,2021-10-26,0001500217-21-000133,a3q21earningsreleaseng.htm,a3q21supplementalng.htm;aat-20211026.htm,2,10-Q,2021-10-29,0001500217-21-000136,aat-20210930.htm,1,2,True,True,True,ready
2021Q4,ABG,1144980,ok,1,2021-10-26,0001144980-21-000133,a2021q3ex991.htm,abg-20211026.htm,1,10-Q,2021-10-26,0001144980-21-000138,abg-20210930.htm,1,1,True,True,True,ready
2021Q4,ABM,771497,ok,1,2021-12-15,0001104659-21-149789,tm2135450d1_8k.htm,tm2135450d1_ex99-1.htm,1,10-K,2021-12-22,0000771497-21-000038,abm-20211031.htm,1,1,True,True,True,ready
2021Q4,ABNB,1559720,ok,0,,,,,0,,,,,0,0,False,False,False,missing_8k_item_202;missing_10q_10k_before_or_in_qtr;earnings_docs_not_ready;periodic_doc_not_ready
2021Q4,ACA,1739445,ok,1,2021-11-03,0001739445-21-000150,aca-20211103.htm,exh991earningsrelease93020.htm,1,10-Q,2021-11-04,0001739445-21-000153,aca-20210930.htm,1,1,True,True,True,ready
2021Q4,ACAD,1070494,ok,1,2021-11-08,0001564590-21-055255,acad-8k_20211108.htm,acad-ex991_6.htm,1,10-Q,2021-11-09,0001564590-21-055347,acad-10q_20210930.htm,1,1,True,True,True,ready
2021Q4,ACCO,712034,ok,1,2021-10-26,0000712034-21-000137,a2021-q3ex991pr.htm,abd-20211026.htm,1,10-Q,2021-10-28,0000712034-21-000140,abd-20210930.htm,1,1,True,True,True,ready
2021Q4,ACDC,0001881487,ok,0,,,,,0,,,,,0,0,False,False,False,missing_8k_item_202;missing_10q_10k_before_or_in_qtr;earnings_docs_not_ready;periodic_doc_not_ready
